Camara,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,Observation_B
4,,Atencion_Cajas,,,Enter,N/A,0:02:45,Mal,,,Evento no registrado,Sin TRACK_ID
4,unknown,Atencion_Cajas,Female,28,Enter,3e8e3242-8ab4-42a3-9f07-db35344fecb4,2026-03-11 00:02:53,Bien,Bien,Mal,,
4,,Atencion_Cajas,,,Exit,"""7e21""",0:03:22,Mal,,,Evento no registrado,TRACK_ID desaparece
4,unknown,Atencion_Cajas,Female,28,Exit,3e8e3242-8ab4-42a3-9f07-db35344fecb4,2026-03-11 00:03:29,Bien,Bien,Mal,,
4,,Atencion_Cajas,,,Enter,4547,0:03:41,Mal,,,Evento no registrado,TRACK_ID desaparece
4,,Atencion_Cajas,,,Enter,5290,0:03:43,Mal,,,Evento no registrado,TRACK_ID desaparece
4,unknown,Atencion_Cajas,Female,60,Enter,8dae18aa-5313-4e46-affd-6261d581374b,2026-03-11 00:03:49,Bien,Bien,Mal,,
4,,Atencion_Cajas,,,Enter,N/A,0:33:55,Mal,,,Evento no registrado,TRACK_ID desaparece
4,unknown,Atencion_Cajas,Female,60,Exit,8dae18aa-5313-4e46-affd-6261d581374b,2026-03-11 00:04:35,Bien,Bien,Mal,,
4,,Atencion_Cajas,,,,1bca,,Mal,,,Evento no registrado,TRACK_ID desaparece
4,,Atencion_Cajas,,,,1629,0:04:40,Mal,,,Evento no registrado,
5,,Atencion_Barra,,,,8128,0:00:41,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,9641,0:01:31,Mal,,,Evento no registrado,
5,,Atencion_Barra,,,,5f16,0:02:14,Mal,,,Evento no registrado,
5,,Atencion_Barra,,,,42b5,0:03:13,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,d52b,0:03:20,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,22ec,0:03:50,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,df68,0:05:22,Mal,,,Evento no registrado,TRACK_ID desaparece
5,unknown,Atencion_Barra,Female,28,Enter,2a624d09-abb4-443e-b027-d42072360592,2026-03-11 00:06:08,Bien,Bien,Bien,,
5,unknown,Atencion_Barra,Female,28,Exit,2a624d09-abb4-443e-b027-d42072360592,2026-03-11 00:06:21,Bien,Bien,Bien,,
5,,Atencion_Barra,,,,3787,0:06:29,Mal,,,Evento no registrado,
5,,Atencion_Barra,,,,3787,0:06:48,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,9796,0:07:08,Mal,,,Evento no registrado,
5,,Atencion_Barra,,,,9796,0:07:17,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,44a4,0:08:47,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,67b7,0:09:01,Mal,,,Evento no registrado,TRACK_ID desaparece
5,unknown,Atencion_Barra,Male,60,Enter,91058ebf-1baf-497d-939e-1d49950a9439,2026-03-11 00:10:34,Bien,Bien,Mal,,
5,unknown,Atencion_Barra,Male,60,Exit,91058ebf-1baf-497d-939e-1d49950a9439,2026-03-11 00:10:47,Bien,Bien,Mal,,
5,unknown,Atencion_Barra,Male,60,Enter,91058ebf-1baf-497d-939e-1d49950a9439,2026-03-11 00:10:55,Bien,Bien,Mal,,
5,unknown,Atencion_Barra,Male,60,Exit,91058ebf-1baf-497d-939e-1d49950a9439,2026-03-11 00:11:59,Bien,Bien,Mal,,
5,unknown,Atencion_Barra,unknown,0,Enter,396e9350-c7a6-4472-ac21-922e704b0cff,2026-03-11 00:12:33,Bien,Mal,Mal,,
5,unknown,Sillas Barra,unknown,0,Enter,ebf6bffd-7ed6-47b5-80af-d030cd96d4bc,2026-03-11 00:12:41,Bien,Mal,Mal,,
5,unknown,Atencion_Barra,unknown,0,Exit,396e9350-c7a6-4472-ac21-922e704b0cff,2026-03-11 00:13:14,Bien,Mal,Mal,,
5,unknown,Sillas Barra,unknown,0,Exit,ebf6bffd-7ed6-47b5-80af-d030cd96d4bc,2026-03-11 00:13:14,Bien,Mal,Mal,,
5,,Atencion_Barra,,,,36c0,0:13:30,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,3d59,0:13:48,Mal,,,Evento no registrado,TRACK_ID desaparece
5,unknown,Atencion_Barra,Female,28,Enter,e328ee8a-a930-4f4e-816e-45e801f9af94,2026-03-11 00:15:52,Bien,Mal,Bien,,
5,unknown,Atencion_Barra,Female,28,Exit,e328ee8a-a930-4f4e-816e-45e801f9af94,2026-03-11 00:16:03,Bien,Mal,Bien,,
5,,Atencion_Barra,,,,ee51,0:19:51,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,"""0422""",0:20:06,Mal,,,Evento no registrado,TRACK_ID desaparece
5,unknown,Atencion_Barra,Female,28,Enter,e67270c1-7152-41c0-a270-ed2b95e0e1b4,2026-03-11 00:22:57,Bien,Mal,Bien,,
5,unknown,Atencion_Barra,Female,28,Exit,e67270c1-7152-41c0-a270-ed2b95e0e1b4,2026-03-11 00:23:09,Bien,Mal,Bien,,
5,,Atencion_Barra,,,,97b6,0:23:10,Mal,,,Evento no registrado,TRACK_ID desaparece
5,unknown,Atencion_Barra,Male,60,Enter,63490629-2ec8-427f-984e-03bf26bf4215,2026-03-11 00:24:10,Bien,Bien,Mal,,
5,unknown,Atencion_Barra,Male,60,Exit,63490629-2ec8-427f-984e-03bf26bf4215,2026-03-11 00:24:16,Bien,Bien,Mal,,
5,unknown,Atencion_Barra,Male,60,Enter,9acac80e-cd99-4d57-a265-b40ab456082b,2026-03-11 00:24:59,Bien,Bien,Mal,,
5,unknown,Atencion_Barra,Male,60,Exit,9acac80e-cd99-4d57-a265-b40ab456082b,2026-03-11 00:25:24,Bien,Bien,Mal,,
5,unknown,Atencion_Barra,Female,60,Enter,c2812d94-c552-495e-b7d7-f8aba472af01,2026-03-11 00:25:26,Bien,Mal,Mal,,
5,unknown,Atencion_Barra,Female,18,Enter,fc4a15ce-c5eb-463e-be81-48f8d71dd259,2026-03-11 00:25:39,Bien,Mal,Mal,,
5,unknown,Atencion_Barra,Female,60,Exit,c2812d94-c552-495e-b7d7-f8aba472af01,2026-03-11 00:25:41,Bien,Mal,Mal,,
5,unknown,Atencion_Barra,Female,18,Exit,fc4a15ce-c5eb-463e-be81-48f8d71dd259,2026-03-11 00:25:46,Bien,Mal,Mal,,
5,,Atencion_Barra,,,,42fa,0:25:52,Mal,,,Evento no registrado,
5,unknown,Atencion_Barra,Female,60,Enter,73c9183f-e080-45e1-b087-3dd9c44e7024,2026-03-11 00:26:09,Bien,Mal,Mal,,
5,unknown,Atencion_Barra,Female,60,Exit,73c9183f-e080-45e1-b087-3dd9c44e7024,2026-03-11 00:26:23,Bien,Mal,Mal,,TRACK_ID desaparece
5,,Atencion_Barra,,,,a0c0,0:26:45,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,f698,0:28:11,Mal,,,Evento no registrado,TRACK_ID desaparece
5,,Atencion_Barra,,,,N/A,0:28:35,Mal,,,Evento no registrado,
5,,Atencion_Barra,,,,5878,0:29:00,Mal,,,Evento no registrado,TRACK_ID desaparece
