Camara,Tipo_sensor,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,
3,Zona_permanencia,,Estanteria Principal,,,Enter,3468,11:05:52,Mal,,Mal,Evento no registrado,
3,Zona_permanencia,,Estanteria Principal,,,Enter,260,11:05:52,Mal,,Mal,Evento no registrado,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 2,Female,0,Enter,b88db8f6-0ff9-414a-a083-5bf73d929488,"Feb 24, 2026 11:05:58 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Estanteria Principal,Female,0,Enter,15097450-fccd-4611-b80e-db50d30bda54,"Feb 24, 2026 11:06:02 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 2,Female,0,Enter,7ea47c83-2389-4da4-ad35-c1135a5873c0,"Feb 24, 2026 11:06:08 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 2,Female,0,Exit,b88db8f6-0ff9-414a-a083-5bf73d929488,"Feb 24, 2026 11:06:08 PM",Bien,Bien,Mal,Oclusión genera cambio de ID,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 2,Female,0,Exit,7ea47c83-2389-4da4-ad35-c1135a5873c0,"Feb 24, 2026 11:06:14 PM",Bien,Bien,Mal,,
3,Zona_permanencia,95579bf3-6625-4398-868a-d2dd42cb3c19,Estanteria Principal,Female,0,Enter,e49904ad-d08b-4c8d-a9d1-d91c5122f32a,"Feb 24, 2026 11:06:17 PM",Bien,Bien,Mal,,
3,Zona_permanencia,,Exploracion 2,,,Enter,c755,11:06:19,Mal,,Mal,,Evento no registrado
3,Zona_permanencia,95579bf3-6625-4398-868a-d2dd42cb3c19,Estanteria Principal,Female,0,Exit,e49904ad-d08b-4c8d-a9d1-d91c5122f32a,"Feb 24, 2026 11:06:30 PM",Bien,Bien,Mal,,Oclusión genera cambio de ID
3,Zona_permanencia,95579bf3-6625-4398-868a-d2dd42cb3c19,Estanteria Principal,Female,0,Enter,570a2b22-fce9-4d8e-aef8-d27e0c755e44,"Feb 24, 2026 11:06:34 PM",Bien,Bien,Mal,,
3,Zona_permanencia,95579bf3-6625-4398-868a-d2dd42cb3c19,Estanteria Principal,Female,0,Exit,570a2b22-fce9-4d8e-aef8-d27e0c755e44,"Feb 24, 2026 11:06:42 PM",Bien,Bien,Mal,,
3,Zona_permanencia,,Exploracion 2,,,Exit,c755,11:06:55,Mal,,Mal,,Evento no registrado
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Estanteria Principal,Female,0,Exit,15097450-fccd-4611-b80e-db50d30bda54,"Feb 24, 2026 11:07:13 PM",Bien,Bien,Mal,,
