Identity_ID,Zona_name,,,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,Observation_B
,Atencion_Club,,,,,,f24d,0:27:56,Mal,,,Evento no registrado,TRACK_ID desaparece
4c7a08ef-67ad-4a08-be9f-6354107bcaec,Fila_Club,,,Male,28,Enter,105a3aa8-67bd-423e-a3e8-a5bb360822f0,2026-03-11 00:28:05,Bien,Bien,Bien,,
unknown,Atencion_Club,,,Male,45,Exit,b14439eb-0d94-43e7-990e-9fd9e30691e6,2026-03-11 00:28:07,Mal,Bien,Bien,,TRACK_ID desaparece
4c7a08ef-67ad-4a08-be9f-6354107bcaec,Fila_Club,,,Male,28,Exit,105a3aa8-67bd-423e-a3e8-a5bb360822f0,2026-03-11 00:28:16,Bien,Bien,Bien,,
,Atencion_Club,,,,,,3a93,0:28:33,Mal,,,Evento no registrado,TRACK_ID desaparece
,Atencion_Club,,,,,,bf29,0:28:35,Mal,,,Evento no registrado,TRACK_ID desaparece
unknown,Atencion_Club,,,Male,18,Enter,65564e97-8950-4905-9eb0-732e0247686b,2026-03-11 00:28:31,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Enter,2ccf943b-36d9-434d-be1c-e20539c3b2b2,2026-03-11 00:29:35,Bien,Bien,Bien,,
unknown,Fila_Club,,,Male,28,Exit,2ccf943b-36d9-434d-be1c-e20539c3b2b2,2026-03-11 00:29:41,Bien,Bien,Bien,,
unknown,Atencion_Club,,,Male,18,Exit,65564e97-8950-4905-9eb0-732e0247686b,2026-03-11 00:29:44,Bien,Bien,Bien,,
a04bbf00-6b82-4f6a-9491-5c46d8ff58f1,Atencion_Club,,,Female,45,Enter,3987b227-abea-429b-9c5f-68da4996557a,2026-03-11 00:29:54,Bien,Bien,Bien,,
a04bbf00-6b82-4f6a-9491-5c46d8ff58f1,Atencion_Club,,,Female,45,Exit,3987b227-abea-429b-9c5f-68da4996557a,2026-03-11 00:30:15,Bien,Bien,Bien,,
,Atencion_Club,,,,,,0d68,0:32:29,Mal,,,Evento no registrado,TRACK_ID desaparece
unknown,Atencion_Club,,,Female,18,Enter,38a87d73-f47c-48c9-8c68-57ad2a8e9e72,2026-03-11 00:35:54,Bien,Bien,Bien,,
unknown,Atencion_Club,,,Female,18,Exit,38a87d73-f47c-48c9-8c68-57ad2a8e9e72,2026-03-11 00:36:07,Bien,Bien,Bien,,
,,,,,,,,END,,,,,
