Camara,Tipo_sensor,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,Observation_B,
1,Linea_conteo,,Exterior 2,,,Enter,3f61,17:24:58,Mal,,,,Evento no registrado,No registra conteo
1,Linea_conteo,62b16341-5c73-4a5e-90da-13e261900425,Entrada,Female,0,Exit,4f0bc6d1-d9ed-4e8f-bb8c-e4ac02ae33e6,2026-02-18 17:25:42,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Entrada,Female,0,Exit,80cb00c7-ed27-4fa2-acc3-7efe5b62b0c0,2026-02-18 17:25:42,Bien,Bien,Mal,,,
1,Linea_conteo,62b16341-5c73-4a5e-90da-13e261900425,Exterior 2,Female,0,Exit,4f0bc6d1-d9ed-4e8f-bb8c-e4ac02ae33e6,2026-02-18 17:25:44,Bien,Bien,Mal,,,
1,Linea_conteo,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exterior 2,Female,0,Exit,80cb00c7-ed27-4fa2-acc3-7efe5b62b0c0,2026-02-18 17:25:45,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior L,,,Enter,d6b8,17:25:48,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,30f7,17:26:03,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,47ee,17:26:16,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,f799,17:26:20,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,644e,17:26:31,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,9b01,17:26:31,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,2dd1,12:26:39,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,1b8a,12:26:39,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,a5e4,12:27:00,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,8c2c1be7-b9a6-49c3-ae66-cbe74b59d11a,Entrada,Male,0,Enter,21a637a5-7265-42be-8b26-5ae175ef330f,2026-02-18 17:27:19,Bien,Bien,Mal,,,
1,Linea_conteo,,Exterior 2,,,Enter,"""41e5""",12:27:20,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,f48e,12:27:31,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,7520,14:35:00,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,7661,17:27:48,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,44dd0,17:28:10,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,Enter,91b9,17:28:11,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,9878,17:28:40,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,68cf,17:28:42,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,2e1e,17:28:42,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,c20e,17:28:59,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior L,,,Enter,cb5b,17:28:59,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,8c2c1be7-b9a6-49c3-ae66-cbe74b59d11a,Entrada,Male,0,Exit,143452fa-e259-445f-8d8b-d8d492d3f2ff,2026-02-18 17:29:50,Bien,Mal,Mal,,,
1,Linea_conteo,8c2c1be7-b9a6-49c3-ae66-cbe74b59d11a,Exterior 2,Male,0,Exit,143452fa-e259-445f-8d8b-d8d492d3f2ff,2026-02-18 17:29:51,Bien,,Mal,,,
1,Linea_conteo,,Exterior L,,,Enter,63bb,17:29:50,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,,cab2,17:29:57,Mal,,,,Evento no registrado,Solo registra conteo
1,Linea_conteo,,Exterior 2,,,,"""08e8""",17:29:57,Mal,,,,Evento no registrado,Solo registra conteo
2,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Interior 1,Female,0,Enter,7e2e15a2-30e2-4898-bde3-0e3089e30bb6,18/02/2026 17:22:41,Bien,Bien,Mal,,,
2,Zona_permanencia,c94efb2e-dc3a-4540-a402-f869a4e92d87,Interior 1,Female,0,Enter,eaa7c852-9078-42ef-af03-4db790a44d8c,18/02/2026 17:22:41,Bien,Bien,Mal,,,
2,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Interior 1,Female,0,Exit,7e2e15a2-30e2-4898-bde3-0e3089e30bb6,18/02/2026 17:22:57,Bien,Bien,Mal,,,
2,Zona_permanencia,c94efb2e-dc3a-4540-a402-f869a4e92d87,Interior 1,Female,0,Exit,eaa7c852-9078-42ef-af03-4db790a44d8c,18/02/2026 17:23:06,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Exploracion 3,Female,0,Enter,62857f47-309f-4798-93ba-92a985cba138,18/02/2026 17:07:20,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Exploracion 3,Female,0,Exit,62857f47-309f-4798-93ba-92a985cba138,18/02/2026 17:07:38,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Caja,Female,0,Enter,268dbe9c-11a6-4f16-85b9-668695f27ffb,18/02/2026 17:12:58,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Caja,Female,0,Exit,268dbe9c-11a6-4f16-85b9-668695f27ffb,18/02/2026 17:14:39,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Caja,Female,0,Enter,268dbe9c-11a6-4f16-85b9-668695f27ffb,18/02/2026 17:14:58,Bien,Bien,Mal,,,
3,Zona_permanencia,c94efb2e-dc3a-4540-a402-f869a4e92d87,Estanteria Principal,Female,0,Enter,c012cf91-7e72-4a32-bcae-bed1c76c884f,18/02/2026 17:15:25,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Caja,Female,0,Exit,268dbe9c-11a6-4f16-85b9-668695f27ffb,18/02/2026 17:15:27,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Estanteria Principal,Female,0,Enter,ffeaa747-8c03-484b-b436-b10a9b78d0b3,18/02/2026 17:15:30,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Estanteria Principal,Female,0,Exit,ffeaa747-8c03-484b-b436-b10a9b78d0b3,18/02/2026 17:15:44,Bien,Bien,Mal,,,
3,Zona_permanencia,c94efb2e-dc3a-4540-a402-f869a4e92d87,Estanteria Principal,Female,0,Exit,c012cf91-7e72-4a32-bcae-bed1c76c884f,18/02/2026 17:16:04,Bien,Bien,Mal,Oclusión genera cambio de ID,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Estanteria Principal,Female,0,Enter,f3a7f951-7634-43b1-b5d3-43cfa95c6474,18/02/2026 17:16:04,Bien,Bien,Mal,,,
3,Zona_permanencia,c94efb2e-dc3a-4540-a402-f869a4e92d87,Estanteria Principal,Female,0,Enter,add249fa-f9f0-43a6-aa41-1bdb22fe1995,18/02/2026 17:16:04,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Estanteria Principal,Female,0,Exit,f3a7f951-7634-43b1-b5d3-43cfa95c6474,18/02/2026 17:16:13,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Estanteria Principal,Female,0,Enter,f3a7f951-7634-43b1-b5d3-43cfa95c6474,18/02/2026 17:16:20,Bien,Bien,Mal,,,
3,Zona_permanencia,c94efb2e-dc3a-4540-a402-f869a4e92d87,Estanteria Principal,Female,0,Exit,add249fa-f9f0-43a6-aa41-1bdb22fe1995,18/02/2026 17:16:48,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Estanteria Principal,Female,0,Exit,f3a7f951-7634-43b1-b5d3-43cfa95c6474,18/02/2026 17:16:52,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Caja,Female,0,Enter,a6b54760-1469-4870-8b1c-7cf556d9c5bf,18/02/2026 17:17:03,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Caja,Female,0,Exit,a6b54760-1469-4870-8b1c-7cf556d9c5bf,18/02/2026 17:17:47,Bien,Bien,Mal,Oclusión genera cambio de ID,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Exploracion 3,Female,0,Enter,43e5d536-3ac7-469c-bbb8-bbd0c9c62df5,18/02/2026 17:17:54,Bien,Bien,Mal,,,
3,Zona_permanencia,c94efb2e-dc3a-4540-a402-f869a4e92d87,Estanteria Principal,Female,0,Enter,3b1c104f-41f5-4a32-a89d-eccbfed189f3,18/02/2026 17:18:02,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Exploracion 3,Female,0,Exit,43e5d536-3ac7-469c-bbb8-bbd0c9c62df5,18/02/2026 17:18:08,Bien,Bien,Mal,,,
3,Zona_permanencia,c94efb2e-dc3a-4540-a402-f869a4e92d87,Estanteria Principal,Female,0,Exit,3b1c104f-41f5-4a32-a89d-eccbfed189f3,18/02/2026 17:18:09,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Exploracion 2,Female,0,Enter,43e5d536-3ac7-469c-bbb8-bbd0c9c62df5,18/02/2026 17:18:11,Bien,Bien,Mal,,,
3,Zona_permanencia,62b16341-5c73-4a5e-90da-13e261900425,Exploracion 2,Female,0,Exit,43e5d536-3ac7-469c-bbb8-bbd0c9c62df5,18/02/2026 17:18:57,Bien,Bien,Mal,,,
3,Zona_permanencia,c94efb2e-dc3a-4540-a402-f869a4e92d87,Exploracion 2,Female,0,Enter,3b1c104f-41f5-4a32-a89d-eccbfed189f3,18/02/2026 17:19:03,Bien,Bien,Mal,,,
